ID_Propiedad,Direccion,ID_Propietario
1,"123 Main St, Los Angeles, CA",1
2,"456 Elm St, Los Angeles, CA",2
3,"789 Oak St, Los Angeles, CA",3
4,"101 Maple Ave, Los Angeles, CA",4
5,"202 Pine St, Los Angeles, CA",5
6,"303 Cedar St, Los Angeles, CA",6
7,"404 Birch St, Los Angeles, CA",7
8,"505 Walnut St, Los Angeles, CA",8
9,"606 Chestnut St, Los Angeles, CA",9
10,"707 Willow St, Los Angeles, CA",10
11,"808 Sycamore St, Los Angeles, CA",11
12,"909 Spruce St, Los Angeles, CA",12
13,"1010 Redwood St, Los Angeles, CA",13
14,"1111 Palm St, Los Angeles, CA",14
15,"1212 Sequoia St, Los Angeles, CA",15
16,"1313 Poplar St, Los Angeles, CA",16
17,"1414 Aspen St, Los Angeles, CA",17
18,"1515 Alder St, Los Angeles, CA",18
19,"1616 Hickory St, Los Angeles, CA",19
20,"1717 Cypress St, Los Angeles, CA",20
21,"1818 Fir St, Los Angeles, CA",21
22,"1919 Juniper St, Los Angeles, CA",22
23,"2020 Cedar St, Los Angeles, CA",23
24,"2121 Maple St, Los Angeles, CA",24
25,"2222 Ash St, Los Angeles, CA",25
26,"2323 Elm St, Los Angeles, CA",26
27,"2424 Oak St, Los Angeles, CA",27
28,"2525 Pine St, Los Angeles, CA",28
29,"2626 Redwood St, Los Angeles, CA",29
30,"2727 Birch St, Los Angeles, CA",30
31,"2828 Palm St, Los Angeles, CA",31
32,"2929 Sequoia St, Los Angeles, CA",32
33,"3030 Poplar St, Los Angeles, CA",33
34,"3131 Aspen St, Los Angeles, CA",34
35,"3232 Alder St, Los Angeles, CA",35
36,"3333 Hickory St, Los Angeles, CA",36
37,"3434 Cypress St, Los Angeles, CA",37
38,"3535 Fir St, Los Angeles, CA",38
39,"3636 Juniper St, Los Angeles, CA",39
40,"3737 Cedar St, Los Angeles, CA",40
41,"3838 Maple St, Los Angeles, CA",41
42,"3939 Ash St, Los Angeles, CA",42
43,"4040 Elm St, Los Angeles, CA",43
44,"4141 Oak St, Los Angeles, CA",44
45,"4242 Pine St, Los Angeles, CA",45
46,"4343 Redwood St, Los Angeles, CA",46
47,"4444 Birch St, Los Angeles, CA",47
48,"4545 Palm St, Los Angeles, CA",48
49,"4646 Sequoia St, Los Angeles, CA",49
50,"4747 Poplar St, Los Angeles, CA",50
